href	name	url	color	vote_result	votes
/vote/78745	Об избрании председателя Комитета по информационной политике, информационным технологиям и связи	http://vote.duma.gov.ru/vote/78745	red	Отклонен(не набран кворум)	За: 150, Против: 0, Воздержалось: 0
/vote/78748	(поправка деп. Гартунга В.К.) О проекте постановления Государственной Думы № 141619-6 "О нарушении депутатом Государственной Думы И.В.Пономаревым правил депутатской этики"	http://vote.duma.gov.ru/vote/78748	red	Отклонен|Против: 232 чел (52%)	За: 70, Воздержалось: 1
/vote/78750	(первое чтение) О проекте федерального закона № 138348-6 "О приостановлении действия отдельных положений Бюджетного кодекса Российской Федерации" (о приостановлении норм, ограничивающих срок внесения изменений в законодательство о налогах и сборах и законодательство, регулирующее бюджетные правоотношения, в части доходов бюджетов бюджетной системы)	http://vote.duma.gov.ru/vote/78750	green	Принят|За: 237 чел (53%)	Против: 131, Воздержалось: 0
/vote/78752	О проекте федерального закона № 100252-6 "О ратификации Соглашения о сохранении специализации предприятий и организаций, участвующих в производстве продукции военного назначения в рамках Организации Договора о коллективной безопасности"	http://vote.duma.gov.ru/vote/78752	green	Принят|За: 397 чел (88%)	Против: 0, Воздержалось: 0
/vote/78754	О проекте постановления Государственной Думы № 141913-6 "Об обращении Государственной Думы Федерального Собрания Российской Федерации "К Правительству Российской Федерации, Центральному банку Российской Федерации, органам исполнительной власти субъектов Российской Федерации о мерах, необходимых для развития сельского хозяйства"	http://vote.duma.gov.ru/vote/78754	green	Принят|За: 401 чел (89%)	Против: 0, Воздержалось: 1
/vote/78756	(третье чтение) О проекте федерального закона № 59315-6 "О внесении изменений в Федеральный закон "О государственном регулировании деятельности по организации и проведению азартных игр и о внесении изменений в некоторые законодательные акты Российской Федерации" (в части уточнения требований, предъявляемых к игорным заведениям)	http://vote.duma.gov.ru/vote/78756	green	Принят|За: 353 чел (78%)	Против: 0, Воздержалось: 0
/vote/78758	Д.1 (3 чтение) О проекте федерального закона " О внесении изменений в отдельные законодательные акты Российской Федерации"	http://vote.duma.gov.ru/vote/78758	green	Принят|За: 352 чел (78%)	Против: 0, Воздержалось: 0
/vote/78760	(2 чтение) О проекте федерального закона № 512037-5 "О внесении изменений в статьи 3.5 и 15.25 Кодекса Российской Федерации об административных правонарушениях" (в части уточнения состава административного правонарушения, предусматривающего ответственность за нарушение валютного законодательства Российской Федерации и актов органов валютного регулирования)	http://vote.duma.gov.ru/vote/78760	green	Принят|За: 367 чел (82%)	Против: 0, Воздержалось: 0
/vote/78762	(2 чтение) О проекте федерального закона № 462911-5 "О внесении изменений в Федеральный закон "О гражданстве Российской Федерации" (об установлении специального указания Федерального закона "О гражданстве Российской Федерации" в качестве нового основания для приобретения гражданства Российской Федерации лицами, имевшими гражданство СССР, прибывшими в Российскую Федерацию из государств, входивших в состав СССР, и получившими от одного из полномочных государственных органов, ведавших (или ведающих) вопросами российского гражданства, паспорт гражданина Российской Федерации или иной документ, удостоверяющий наличие российского гражданства, но не прошедшими при этом необходимые процедуры по приобретению гражданства России)	http://vote.duma.gov.ru/vote/78762	green	Принят|За: 379 чел (84%)	Против: 0, Воздержалось: 0
/vote/78764	(3 чтение) О проекте федерального закона № 11521-6 "О внесении изменений в статью 232 Федерального закона "О ветеранах" (о предоставлении ветеранам боевых действий единовременной денежной выплаты на строительство или приобретение жилого помещения)	http://vote.duma.gov.ru/vote/78764	green	Принят|За: 437 чел (97%)	Против: 0, Воздержалось: 0
/vote/78766	(первое чтение) О проекте федерального закона № 30973-6 "О внесении изменения в статью 46 Бюджетного кодекса Российской Федерации" (о зачислении суммы денежных взысканий (штрафов) за несоблюдение правил благоустройства территорий поселений и городских округов в бюджеты соответствующих поселений, городских округов)	http://vote.duma.gov.ru/vote/78766	green	Принят|За: 395 чел (88%)	Против: 0, Воздержалось: 0
/vote/78769	(первое чтение) О проекте федерального закона № 109045-6 "О потребительской корзине в целом по Российской Федерации"	http://vote.duma.gov.ru/vote/78769	green	Принят|За: 240 чел (53%)	Против: 74, Воздержалось: 0
/vote/78771	(первое чтение) О проекте федерального закона № 96146-6 "О внесении изменений в Федеральный закон "О правовом положении иностранных граждан в Российской Федерации" и отдельные законодательные акты Российской Федерации в целях создания дополнительных благоприятных условий для обучения в Российской Федерации иностранных граждан и лиц без гражданства" (об установлении льготного режима допуска к осуществлению трудовой деятельности в Российской Федерации в отношении иностранных учащихся и студентов и о создании благоприятных условий для получения образования в Российской Федерации иностранными работниками, а также о расширении возможностей для привлечения в Российскую Федерацию в целях обучения в рамках международных договоров Российской Федерации иностранных соотечественников)	http://vote.duma.gov.ru/vote/78771	blue	Рейтинговое	За: 239, Против: 1, Воздержалось: 0
/vote/78773	(первое чтение) О проекте федерального закона № 63363-6 "О внесении изменений в Градостроительный кодекс Российской Федерации" (в части установления сроков обжалования решений саморегулируемой организации в арбитражном суде)	http://vote.duma.gov.ru/vote/78773	red	Отклонен|Против: 3 чел (1%)	За: 0, Воздержалось: 0
