Ленинградский политехнический институт им. М.И. Калинина	2
Калининградский технический институт рыбной промышленности и хозяйства	1
Красноярский государственный университет	1
Владимирский государственный технический университет	1
Кузбасский политехнический институт	1
Дипломатическая академия МИД России	8
Каменск-Уральский алюминиевый техникум	1
Братский индустриальный институт	1
Московский государственный институт международных отношений (университет) МИД России	2
Дальневосточный политехнический институт им. В.В. Куйбышева	1
Университет марксизма-ленинизма Уральского обкома компартии Казахстана	1
Московское высшее общевойсковое командное училище им. Верховного Совета РСФСР	3
Высшая комсомольская школа при ЦК ВЛКСМ	3
Московское высшее пограничное командное Краснознаменное училище КГБ при Совете Министров СССР	1
Краснодарский политехнический институт	1
Московский государственный авиационный институт (технический университет)	1
Московский медицинский стоматологический институт	1
Орловский коммерческий институт	1
Воронежский сельскохозяйственный институт им. К.Д. Глинки	1
Западно-Казахстанский сельскохозяйственный институт	1
Ростовский-на-Дону строительный техникум	2
Белгородский государственный университет	1
Благовещенский государственный медицинский институт	1
Харьковское высшее военное авиационное училище радиоэлектроники им. Ленинского комсомола Украины	1
Тюменский государственный колледж профессионально-педагогических технологий	1
Иркутский институт народного хозяйства	1
Новосибирский институт инженеров железнодорожного транспорта	1
Тюменский индустриальный институт	1
Московский институт инженеров геодезии, аэрофотосъемки и картографии	2
Московская высшая партийная школа	1
Государственный университет управления	1
Горьковская специальная средняя школа милиции МВД СССР	1
Салаватский индустриальный техникум Миннефтехимпрома СССР	1
Липецкий политехнический институт	1
Академия общественных наук при ЦК КПСС	8
Московский текстильный институт им. А.Н. Косыгина	1
Оренбургский государственный педагогический университет	1
Кемеровский технологический институт пищевой промышленности	1
Федеральное государственное образовательное учреждение высшего профессионального образования &quot;Санкт-Петербургское государ. академия физ.культуры им.П.Ф.Лесгафта&quot;	1
Московская академия государственного и муниципального управления РАГС при Президенте Российской Федерац	1
Военный Краснознаменный институт	3
Московский государственный институт культуры	1
Всесоюзный заочный институт пищевой промышленности	1
